ID	Reviews	Labels
1	很好，超值，很好用	B-pos I-pos O B-pos I-pos O B-pos I-pos I-pos
2	很好，遮暇功能差一些，总体还不错	B-pos I-pos O B-gongxiao I-gongxiao I-gongxiao I-gongxiao B-neg I-neg I-neg O O O B-pos I-pos I-pos
3	包装太随便了，连个包装盒都没有，第一感觉很不好	B-baozhuang I-baozhuang B-neg I-neg I-neg I-neg O O O B-baozhuang I-baozhuang I-baozhuang O B-neg I-neg O O O O O B-neg I-neg I-neg
4	宝贝收到了，产品非常的不好，简直就是个垃圾，我都扔了。	O O O O O O O O B-neg I-neg I-neg I-neg I-neg O O O O O O B-neg I-neg O O O O O O
5	活动价很是划算，买一送一共60片才花八十五块，天天用都不心疼啊	O O O B-pos I-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O O
6	使用一段时间才来评价，淡淡的香味，喜欢！	O O O O O O O O O O O B-pos I-pos I-pos B-qiwei I-qiwei O B-pos I-pos O
7	之前买过。用了还不错。继续回购	O O O O O O O B-pos I-pos I-pos O O O O O
8	很润相对好推开。总体还可以。	B-pos I-pos O O B-pos I-pos I-pos O O O B-pos I-pos I-pos O
9	收到了，当天晚上就用了很不错哦，	O O O O O O O O O O O B-pos I-pos I-pos O O
10	做活动时买的，比较划算，也比较好用	O O O O O O O B-pos I-pos I-pos I-pos O O B-pos I-pos I-pos I-pos
11	好用不油腻很清爽	B-pos I-pos B-pos I-pos I-pos B-pos I-pos I-pos
12	气垫水润，还送了一个替换装，很值	O O B-pos I-pos O O O O O O O O O O B-pos I-pos
13	一直在**买东西，质量值得信赖物流还快，以后还会继续关注的。	O O O O O O O O O O O O O O O B-wuliu I-wuliu O B-pos O O O O O O O O O O O
14	很好的，以前用别的品牌这个品牌以前用的日霜不错这个也应该不错。	B-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos O
15	上妆效果：容易上妆 个人情况：油性皮肤 持久情况：下午好像有点出油 整体描述：还不错 适合肤质：油性肤质	B-gongxiao I-gongxiao I-gongxiao I-gongxiao O B-pos I-pos I-pos I-pos O O O O O O O O O O O B-gongxiao I-gongxiao I-gongxiao I-gongxiao O O O O O O O O O O O O O O O B-pos I-pos I-pos O O O O O O O O O O
16	快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然真实！	B-wuliu I-wuliu I-wuliu B-pos I-pos O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-pos I-pos I-pos O B-pos I-pos B-pos I-pos O
17	一般般，还可以，价格不算贵！用起来一般般啦	B-neu I-neu I-neu O B-pos I-pos I-pos O B-jiage I-jiage B-pos I-pos I-pos O O O O O O O O
18	一直在用，感觉还是不错，这次还有小礼品，谢谢啦！还有快递小哥，今天下了雪如期送达，感谢！	O O O O O O O O O B-pos I-pos O O O O O B-jiage I-jiage I-jiage O O O O O O O B-wuliu I-wuliu I-wuliu I-wuliu O O O O O O O O O O O O O O
19	一直买在**买一个牌子的面膜，真的很补水，用完还来	O O O O O O O O O O O O O O O O O B-pos I-pos I-pos O O O O O
20	宝贝收到非常喜欢	O O O O B-pos I-pos I-pos I-pos
21	还不错  物流很快 用了再追评使用感受	B-pos I-pos I-pos O O B-wuliu I-wuliu B-pos I-pos O O O O O O O O O O
22	满满一箱，上百片面膜可以用很久了，发货收到的比下单的多！赞?	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-pos O
23	用着还可以主要按压比较方便不用倒出来那种	O O B-pos I-pos I-pos O O O O B-pos I-pos I-pos I-pos O O O O O O O
24	物流很快，商品好。支持**。	B-wuliu I-wuliu B-pos I-pos O O O B-pos O O O O O O
25	太好用了，味道也很好闻，大爱！	B-pos I-pos I-pos I-pos O B-qiwei I-qiwei O B-pos I-pos I-pos O B-pos I-pos O
26	和实体店买的一样，还送有一个面膜，用了优惠券，太合适了	O O O O O O O O O O O O O O O O O O O B-jiage I-jiage I-jiage O B-pos I-pos I-pos O
27	收到货了物流特别快隔离特别好	O O O O B-wuliu I-wuliu B-pos I-pos I-pos B-gongxiao I-gongxiao B-pos I-pos I-pos
28	很好用，一直都买这个牌子的，无限回购，物美价廉，持续囤货中。	B-pos I-pos I-pos O O O O O O O O O O O O O O O O B-pos I-pos I-pos I-pos O O O O O O O
29	感觉还好吧，第一次用隔离，一开始操作失误出现点小问题，味道还好，送了卸妆水和面膜都挺好用的	O O B-pos I-pos I-pos O O O O O O O O O O O O O O O O O O O O O O B-qiwei I-qiwei B-pos I-pos O O O O O O O O O O B-pos I-pos I-pos I-pos
